cluster,size,sources,share_post_llm,median_sigs,example_title
changeorg_treated:chg34286370,244,1,0.11885245901639344,11.0,Equestria Girls & StarLight Glimmer & House Of Mouse CrossOver
changeorg_other:chg36118963,146,1,0.7054794520547946,1.0,Women right
changeorg_treated:chg32101267,131,2,0.0,1.0,Entire Online
changeorg_treated:chg35533682,127,3,1.0,1.0,Test petition title
changeorg_other:chg34758670,115,3,0.043478260869565216,1.0,For freedom
changeorg_treated:chg37532160,93,1,0.7311827956989247,6.0,Put Billy Blazes ThanksGiving BalLoon From Rescue Heroes For Norm Spencer On The ParAde
changeorg_treated:chg36872596,82,1,0.4024390243902439,6361.0,"New York: Tell your Sister City, Seoul, Korea, you oppose the torture and killing of dogs!"
changeorg_other:chg35213057,53,2,0.6037735849056604,1.0,LGBTQ RIGHTS
changeorg_treated:chg490270756,49,1,0.5102040816326531,6.0,The Original Rescue Heroes & The Reboot Version of The Rescue Heroes On YouTube crossover
changeorg_other:chg35478717,49,1,0.7346938775510204,1.0,Human rights
changeorg_treated:chg33276625,45,3,0.1111111111111111,1.0,Helppp irann
changeorg_other:chg37768977,42,2,0.9285714285714286,1.0,Improvement of Education System in the Philippines
changeorg_other:chg33634881,37,1,0.7027027027027027,1.0,Education
changeorg_treated:chg35799029,36,3,1.0,1.0,Stop the Willow project
changeorg_other:chg35101162,32,1,0.625,1.0,The Importance of Education
changeorg_other:chg35209582,30,3,0.13333333333333333,1.0,Petition title
changeorg_treated:chg32104138,29,1,0.0,10.0,Yugioh Arc-V and Yugioh VRAINS crossover
changeorg_other:chg34721374,28,3,0.0,1.0,government
changeorg_other:chg36300199,26,1,0.7307692307692307,1.0,Crime justice
changeorg_other:chg36224562,23,1,0.8695652173913043,1.0,ANIMALS ABUSE ON A LARGE SCALE IN THE PHILIPPINES
changeorg_treated:chg490311941,23,1,1.0,1.0,Give the Beverly Hills Chihuahua Trilogy More Love
changeorg_treated:chg35595269,23,3,1.0,1.0,Stop the willow project
changeorg_other:chg35585655,23,3,1.0,1.0,Stop willow
changeorg_other:chg35407212,22,1,0.7272727272727273,1.0,Most Affected by the Problem
changeorg_other:chg34423559,21,1,0.0,1.0,electoral fraud in angola
changeorg_other:chg36363232,18,1,0.7777777777777778,1.0,Education are important
changeorg_treated:chg37439680,18,1,0.9444444444444444,5.0,Let tom thomas kiss Krystyna Kaminski
changeorg_other:chg34990808,18,1,0.4444444444444444,1.0,Human Rights
changeorg_treated:chg490335008,18,1,1.0,1.0,Florida Residents Support The P​.​A​.​W​.​S. Doctrine
changeorg_other:chg33201612,17,3,0.0,1.0,We won't watch Aquaman 2 if Amber Heard is is playing
changeorg_other:chg32054072,16,1,0.0,1.0,Postponement of 3​.​1semister exams due to covid
changeorg_other:chg31909135,16,1,0.625,1.0,HUMAN RIGHTS
changeorg_other:chg32511329,16,2,0.0625,1.0,Ethiopian Orthodox Tewahedo Church Questions Requiring an Immediate Response
changeorg_treated:chg36977863,16,1,1.0,1.0,Tell NM Representative Jack Chatfield: End Toxic Air in Our Public Schools
changeorg_treated:chg32271885,16,1,0.0,1.0,"Ensure Mask Mandates at Minnetonka Support Safety, Learning, and Choice"
changeorg_other:chg33541698,15,1,0.4666666666666667,1.0,Stop bullying
changeorg_other:chg35051709,15,2,0.6,1.0,stop animal cruelty
changeorg_other:chg33294397,15,1,0.4666666666666667,1.0,PROTECT MOTHER EARTH
changeorg_treated:chg35685712,15,3,1.0,1.0,Stop the willow project
changeorg_other:chg32007906,15,1,0.6666666666666666,1.0,Implement Measures to Reduce the Number of Abandoned Dogs on Streets
changeorg_treated:chg35588223,15,3,1.0,1.0,#STOPTHEWILLOWPROJECT help save our earth!
changeorg_other:chg35112788,14,2,0.9285714285714286,1.0,"A petition calling for an end to Bato, Toledo City's improper waste disposal"
changeorg_other:chg490310486,14,2,1.0,1.0,FREE DR AAFIA SIDDIQUI: A CALL FOR JUSTICE AND CLEMENCY
changeorg_treated:chg35580835,13,3,1.0,1.0,STOP THE WILLOW PRODJECT PLSSSSS! I want to have a future
changeorg_other:chg35427646,13,1,0.7692307692307693,1.0,Woman's right
changeorg_other:chg35491409,13,1,0.6153846153846154,1.0,Give Education to all of the children
changeorg_other:chg35484475,13,3,1.0,1.0,Free The Tate Brothers From Unjust Imprisonment
changeorg_treated:chg32420195,13,1,0.0,13.0,Put starlight Glimmer in the theme song on Equestria Girls
changeorg_other:chg35469431,13,1,0.6153846153846154,1.0,PETITION: MANDATORY ENFORCEMENT OF ANTI-BULLYING IN EVERY SCHOOL ACROSS THE COUNTRY
changeorg_other:chg37754709,13,1,1.0,1.0,BE A PART OF THE RAINBOW ADVOCATE
changeorg_other:chg490198073,12,2,1.0,1.0,Why this petition is so Vital ?
uk_2010:30020,12,1,0.0,1.0,"All agreements, treaties made by EU states must be reviewed by Council of Ministers at 2 y"
changeorg_treated:chg36023918,12,1,1.0,2.0,Reduce Waste in D155 Schools
changeorg_treated:chg35573067,12,1,0.08333333333333333,1.0,We are writing to inform you of our discontent with Premier Doug Ford and the Progressive
uk_2010:30015,11,1,0.0,1.0,"Strict checks at Scottish borders in place from day 1, should Scotland choose independence"
changeorg_other:chg490039591,11,1,1.0,1.0,Package food and help for nutrition to poor
changeorg_treated:chg32883873,11,2,0.0,1.0,We Want Imran Khan to stay as our Prime Minister
changeorg_treated:chg35578933,11,2,1.0,1.0,SAY NO TO THE WILLOW PROJECT!! KEEP EVERYONE SAFE
changeorg_other:chg35065735,11,1,0.0,1.0,Why does Baclayon National High School Lacks of Budget for Classrooms?
changeorg_other:chg490296976,11,1,0.7272727272727273,1.0,"""Save Boracay's last remaining Wildlife, Forest and Puka shell Beach"""
changeorg_treated:chg33452222,11,1,0.0,10.0,Have Robin & Starfire finally get married in the original Teen Titans & in the comic book
changeorg_treated:chg35480218,11,1,1.0,78.0,FWBI Join Fight Against Illegal Trading
changeorg_treated:chg490278357,11,5,0.5454545454545454,9.0,CHANGE THE LAW SO THAT THE PUBLIC CAN VOTE A GOVERNMENT OUT BEFORE AN ELECTION
changeorg_treated:chg31948769,11,1,0.0,1.0,"Keep Us Safe, San Francisco, Please Support Covid Protocols"
changeorg_other:chg490316895,11,1,0.7272727272727273,1.0,Eradicate corruption in the philippines
changeorg_treated:chg34264672,11,2,0.0,1.0,UNITED AIRLINES (830) 202-9700 BOOK A FLIGHT PHONE NUMBER
changeorg_other:chg34818012,10,1,0.5,1.0,Poverty
changeorg_other:chg36459541,10,1,0.8,1.5,Family Problem
changeorg_other:chg36421678,10,1,1.0,1.0,Protecting Animal Welfare
changeorg_other:chg35592005,10,1,1.0,1.0,Sto the Willow or we goind to die.
changeorg_other:chg37848836,10,1,0.5,1.0,Women’s rights
uk_2010:8366,10,1,0.0,1.0,Convicted London rioters should loose all benefits.
changeorg_treated:chg35483375,10,2,1.0,1.0,Considering the revolution that is going on in Iran and considering that Prince Reza Pahla
changeorg_other:chg490286258,10,1,0.9,1.0,save boracay to the polluted people
uk_2010:26984,10,1,0.0,1.0,PIP breast implants - help for all British victims
uk_2010:34202,10,1,0.0,9.0,London tenants unfairly treated by housing benefit and universal credit (UC) caps
changeorg_other:chg490163865,10,1,1.0,1.0,SAVE KERALA FROM MULLAPPERIYAR DAM DISASTER
changeorg_treated:chg32149383,10,1,0.0,1.0,We call on New York to provide subwaysafety barrier before more in our community are hurt!
changeorg_treated:chg35253530,10,3,0.5,2.0,Help Baby Koalas
changeorg_other:chg37791471,10,1,1.0,1.0,LGBTQ
